h,chunk_mean,Hsig,S,A,WavePeriods,WaveHeights,dPddz_W50,,,,dPddt_W50,dPddt_W50N,S_W50,Hoverh,dPddz_WM50,dPddzcrit
0.67797,'11-Sep-2021 17:39:59',0.49875,0.59176,1.0098,12.7422,0.40735,1.2157,1.2057,1.2294,1.1035,0.72967,6.6895,0.16314,0.60084,1.3059,
0.5507,'11-Sep-2021 17:50:00',0.43539,0.28108,0.86969,15.156,0.37622,1.2011,1.2426,1.2233,1.0973,0.64434,7.3665,0.16269,0.68318,1.3072,
0.42377,'11-Sep-2021 18:00:00',0.3908,0.32519,0.85263,13.9979,0.32444,1.2737,1.2455,1.2293,1.0837,0.5782,7.6139,0.16364,0.76559,1.3469,
0.29422,'11-Sep-2021 18:09:59',0.34754,0.23784,0.71532,16.9136,0.28208,1.2954,1.2872,1.2268,1.0813,0.47711,8.3396,0.14893,0.95875,1.3458,
0.18601,'11-Sep-2021 18:19:59',0.2972,0.19263,0.78119,23.4353,0.24651,1.4812,1.3525,1.2586,1.0818,0.41512,8.0081,0.17227,1.3253,1.5734,
0.011093,'11-Sep-2021 18:30:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.00012145,'11-Sep-2021 18:39:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.00042334,'11-Sep-2021 18:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.00059047,'11-Sep-2021 19:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.0017784,'11-Sep-2021 19:10:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.0014697,'11-Sep-2021 19:20:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.0011265,'11-Sep-2021 19:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.00075068,'11-Sep-2021 19:40:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.00043554,'11-Sep-2021 19:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0010862,'11-Sep-2021 19:59:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0021126,'11-Sep-2021 20:10:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0026625,'11-Sep-2021 20:20:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0027584,'11-Sep-2021 20:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0036723,'11-Sep-2021 20:40:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0043196,'11-Sep-2021 20:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0048171,'11-Sep-2021 21:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0046629,'11-Sep-2021 21:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0041995,'11-Sep-2021 21:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0045332,'11-Sep-2021 21:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0057722,'11-Sep-2021 21:40:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0063542,'11-Sep-2021 21:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
