dt2,Pd2,,,,,,,,Pd_hydro2,,,,,,,,sensorselev,,,,,,,,dtSliceW1,dtSlice_indexW1,dtSliceW2,dtSlice_indexW2,dtSliceW3,dtSlice_indexW3,dtSliceW4,dtSlice_indexW4,dPddz2,,,,,,,dPddt2,Pe,,,,,,,,dPddzcrit
'11/09/2021 02:33:02.53',1.3585,1.4598,1.4672,1.5112,1.5633,1.7253,1.899,2.0514,1.2822,1.3822,1.4452,1.5077,1.5702,1.6702,1.8232,1.9762,,,,,,,,,,,,,,,,,1.1142,-0.1979,1.3537,0.88303,1.3131,1.1693,1.0848,0.54022,0.076279431,0.077568415,0.02195625,0.0035,-0.006966962,0.055102239,0.075772357,0.075138179,
'11/09/2021 02:33:02.59',1.3925,1.4875,1.5093,1.551,1.6024,1.7624,1.9347,2.088,1.322,1.422,1.485,1.5475,1.61,1.71,1.863,2.016,,,,,,,,,,,,,,,,,1.0515,0.031231,1.3171,0.87348,1.2922,1.1602,1.0906,0.65456,0.0705113,0.0655349,0.024243612,0.0035,-0.007563666,0.052417074,0.071694885,0.071955761,
'11/09/2021 02:33:02.64',1.4324,1.5204,1.5486,1.5901,1.6494,1.802,1.9733,2.1246,1.3611,1.4611,1.5241,1.5866,1.6491,1.7491,1.9021,2.0551,,,,,,,,,,,,,,,,,0.98091,0.13625,1.3123,0.99919,1.2186,1.1537,1.0776,0.79095,0.071306904,0.059269516,0.024541963,0.0035,0.000292927,0.052914327,0.071197632,0.069469498,
'11/09/2021 02:33:02.70',1.473,1.5667,1.5899,1.6382,1.7007,1.8449,2.0147,2.1653,1.4092,1.5092,1.5722,1.6347,1.6972,1.7972,1.9502,2.1032,,,,,,,,,,,,,,,,,1.0386,0.055099,1.4221,1.0501,1.134,1.144,1.0737,0.93926,0.063748664,0.057479407,0.017679876,0.0035,0.003475344,0.047643449,0.064434996,0.062110158,
'11/09/2021 02:33:02.76',1.5305,1.6157,1.6582,1.702,1.765,1.9029,2.0663,2.2146,1.473,1.573,1.636,1.6985,1.761,1.861,2.014,2.167,,,,,,,,,,,,,,,,,0.95406,0.36379,1.3489,1.0581,1.0714,1.1024,1.0582,1.0781,0.05748328,0.042760727,0.022254601,0.0035,0.003972596,0.041875318,0.05230203,0.04759038,
'11/09/2021 02:33:02.81',1.5877,1.6741,1.7167,1.7548,1.8269,1.9619,2.1221,2.2666,1.5258,1.6258,1.6888,1.7513,1.8138,1.9138,2.0668,2.2198,,,,,,,,,,,,,,,,,0.965,0.36539,1.2582,1.2045,1.0425,1.081,1.0335,1.1801,0.061958554,0.048329957,0.027923282,0.0035,0.013122046,0.048140701,0.055285546,0.046794776,
'11/09/2021 02:33:02.87',1.6611,1.7442,1.7977,1.8261,1.9082,2.04,2.1889,2.3274,1.5971,1.6971,1.7601,1.8226,1.8851,1.9851,2.1381,2.2911,,,,,,,,,,,,,,,,,0.93218,0.53883,1.1039,1.3636,1.0107,1.0076,0.99454,1.2202,0.064047015,0.047136551,0.037569984,0.0035,0.023067099,0.054903338,0.050810272,0.03635247,
'11/09/2021 02:33:02.93',1.727,1.8083,1.8683,1.8958,1.9719,2.1065,2.2469,2.3812,1.6668,1.7668,1.8298,1.8923,1.9548,2.0548,2.2078,2.3608,,,,,,,,,,,,,,,,,0.91428,0.64385,1.0896,1.2681,1.0386,0.95181,0.96728,1.1846,0.060168444,0.04146787,0.038465038,0.0035,0.017100067,0.051720921,0.039075109,0.020440384,
'11/09/2021 02:33:02.98',1.7998,1.8799,1.944,1.9689,2.0518,2.1832,2.3143,2.4368,1.7399,1.8399,1.9029,1.9654,2.0279,2.1279,2.2809,2.4339,,,,,,,,,,,,,,,,,0.90234,0.70909,1.0482,1.3763,1.0067,0.89144,0.88971,1.0763,0.059870093,0.039976112,0.041050752,0.0035,0.023862704,0.05530114,0.033406429,0.002887364,
'11/09/2021 02:33:03.04',1.8607,1.9401,2.0008,2.0262,2.118,2.2433,2.3666,2.4923,1.7972,1.8972,1.9602,2.0227,2.0852,2.1852,2.3382,2.4912,,,,,,,,,,,,,,,,,0.89538,0.65499,1.0546,1.5195,0.94509,0.84081,0.9108,0.91501,0.063549763,0.042959628,0.04065295,0.0035,0.032813252,0.058085755,0.028433902,0.00114698,
'11/09/2021 02:33:03.10',1.905,1.9861,2.054,2.0726,2.1734,2.2943,2.4116,2.5341,1.8436,1.9436,2.0066,2.0691,2.1316,2.2316,2.3846,2.5376,,,,,,,,,,,,,,,,,0.91229,0.77114,0.94636,1.6627,0.90133,0.80121,0.89003,0.73176,0.061361851,0.042462376,0.047415587,0.0035,0.0417638,0.06266048,0.026942144,-0.003527195,
'11/09/2021 02:33:03.15',1.935,2.0155,2.0908,2.1038,2.203,2.3285,2.4403,2.5603,1.8748,1.9748,2.0378,2.1003,2.1628,2.2628,2.4158,2.5688,,,,,,,,,,,,,,,,,0.90632,0.88889,0.85567,1.6389,0.94708,0.7655,0.87315,0.55922,0.060267895,0.040771717,0.053084267,0.0035,0.040272042,0.065743446,0.024555331,-0.008499722,
'11/09/2021 02:33:03.21',1.9608,2.0429,2.1196,2.1284,2.2349,2.3569,2.4672,2.5856,1.8994,1.9994,2.0624,2.1249,2.1874,2.2874,2.4404,2.5934,,,,,,,,,,,,,,,,,0.92223,0.91117,0.79043,1.7534,0.91326,0.75512,0.86341,0.42225,0.061361851,0.043456881,0.057161739,0.0035,0.047432481,0.069522566,0.026743243,-0.007803568,
'11/09/2021 02:33:03.27',1.9851,2.0679,2.1448,2.149,2.2696,2.3895,2.4943,2.6116,1.92,2.02,2.083,2.1455,2.208,2.308,2.461,2.614,,,,,,,,,,,,,,,,,0.92919,0.91435,0.71564,1.9794,0.89138,0.72006,0.85562,0.33131,0.065140971,0.047932155,0.061835914,0.0035,0.061554457,0.081456631,0.033306978,-0.002433239,
'11/09/2021 02:33:03.32',2.0103,2.0894,2.1694,2.1732,2.2814,2.4138,2.5146,2.6311,1.9442,2.0442,2.1072,2.1697,2.2322,2.3322,2.4852,2.6382,,,,,,,,,,,,,,,,,0.8924,0.96368,0.70927,1.7821,1.0167,0.69345,0.85043,0.28133,0.066135477,0.045246991,0.062233717,0.0035,0.04922259,0.081655532,0.029428407,-0.007107415,
'11/09/2021 02:33:03.38',2.0195,2.0874,2.1803,2.1864,2.2915,2.424,2.5236,2.6426,1.9574,2.0574,2.1204,2.1829,2.2454,2.3454,2.4984,2.6514,,,,,,,,,,,,,,,,,0.78101,1.1705,0.74587,1.7327,1.0167,0.68566,0.86731,0.25594,0.062058005,0.030031059,0.059946354,0.0035,0.046139624,0.078572565,0.025152034,-0.008798074,
