dPddzcrit,WaveHeightsWbW,WavePeriodsWbW,HoverhWbW,dPddt_W,dPddz_WM,dPddz_W,,,,,,,S_W,hW,PercentLiq_Hh,,,,,PercentLiq_S,,,,dPddt_WO,dPddt_WN,dPddt_WON,S_WO
1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44085,8.5752,14.4109,13.0734,32.716,0.69324,10.2663,23.6256,33.3333,NaN,NaN,NaN,NaN
2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2939,10.8839,17.1373,17.4312,31.4815,1.2132,13.9467,22.2883,39.3939,NaN,NaN,NaN,NaN
,0.46488,17.15,0.51397,0.75879,1.7253,1.5922,1.8086,2.5403,0.90382,1.7253,1.2752,1.1454,0.14904,0.90449,,,,,,,,,,0.085159,8.9103,1,0.017329
,0.46193,11.7729,0.45918,0.70665,1.5363,1.5614,1.5683,2.2347,1.2046,1.5363,1.1311,1.1539,0.14048,1.006,,,,,,,,,,0.12326,5.7328,1,0.023784
,0.4146,13.0181,0.45198,0.60159,1.2525,1.4798,1.6335,2.3509,1.0518,1.1952,1.2525,1.0659,0.11881,0.9173,,,,,,,,,,0.10005,6.0127,1,0.020217
,0.53073,26.0929,0.54545,0.74028,1.3981,1.6628,1.5476,2.3032,1.0836,1.3981,1.3518,1.2603,0.1439,0.97301,,,,,,,,,,0.0639,11.5848,1,0.012537
,0.52027,12.6785,0.47714,0.62643,2.131,1.445,1.7926,2.5864,1.6215,2.131,1.1453,1.0331,0.12219,1.0904,,,,,,,,,,0.12892,4.8592,1,0.023893
,0.59942,10.4145,0.63311,0.80912,3.8098,2.2327,2.7139,6.2303,1.6756,3.8098,2.173,1.7712,0.15598,0.94678,,,,,,,,,,0.18082,4.4748,1,0.035963
,0.68888,23.8288,0.70282,1.0639,1.9073,1.5315,1.9645,3.0876,1.5101,1.9073,1.283,1.0938,0.2065,0.98017,,,,,,,,,,0.090822,11.7137,1,0.017754
,0.61515,9.5089,0.53031,0.76819,1.8208,1.4788,1.8611,2.1472,1.5562,1.8208,1.1908,1.0601,0.14929,1.16,,,,,,,,,,0.20324,3.7798,1,0.036519
,0.77608,12.2823,0.88766,0.7262,2.1977,1.6986,2.017,2.7026,1.3971,2.1977,1.7017,1.743,0.13834,0.8743,,,,,,,,,,0.19851,3.6583,1,0.041086
,0.57743,20.546,0.54617,0.65881,1.413,1.5375,1.8006,2.3764,1.2284,1.413,1.2181,1.061,0.12596,1.0572,,,,,,,,,,0.088291,7.4618,1,0.016618
